,attribute:pa_leo-title,parent_sku,stock,regular_price
98,ART HOUSE (DVD),10011267,1,0
99,LIFE AFTER PEOPLE (DVD),10011268,1,0
100,DOG WHISPERER: BEST OF (DVD),10012087,1,0
101,KINGSGLAIVE: **NEEDS RESURFACING** (DVD),10012088,1,0
102,"CONSPIRACY TO RULE THE WORLD, THE (DVD)",10011269,1,0
103,WHAT DARWIN NEVER KNEW (DVD),10011270,1,0
104,BUENA VISTA SOCIAL CLUB (DVD)(SPANISH),10011271,1,0
105,FORSYTHE SAGA 1-4  (DVD),10011272,1,0
106,"DEBT, THE (2016) (DVD)",10011273,1,0
107,"FACEBOOK DILEMMA, THE (DVD)",10011274,1,0
108,LORD PETER WIMSEY 5.2 EP: 3-4 (DVD),10011251,1,0
109,AMERICAN HORROR STORY 1-1 EP:1-5 (BR),10011275,1,0
110,CRUEL INTENTIONS (DVD),10011276,1,0
111,AMERICAN HORROR STORY 1-2 EP:6-10 (BR),10011275,1,0
112,X (DVD),10011277,1,0
113,AMERICAN HORROR STORY 1-3 EP:11-12 (BR),10011275,1,0
114,SNL: BEST OF AMY POEHLER (DVD),10012089,1,0
115,11.22.63: 1.1 EP 1-4  (DVD),10012090,1,0
116,11.22.63: 1.2 EP 5-8  (DVD),10012091,1,0
117,"TEACHINGS OF ABRAHAM, THE DISC:1 (DVD)",10012092,1,0
118,"STARLOST, THE DISC:1 (DVD)",10011278,1,0
119,"STARLOST, THE DISC:2 (DVD)",10011279,1,0
120,"STARLOST, THE DISC:3 (DVD)",10011279,1,0
121,HANDY MANNY: MANNYS GREEN TEAM (DVD),10012093,1,0
122,"STARLOST, THE DISC:4 (DVD)",10011278,1,0
123,SUNRISE / SUNSET  (ENG/TIBET/RUS) (DVD),10011280,1,0
124,ANNIE LEIBOVITZ (DVD),10011281,1,0
125,KYLIE FEVER 2002 (DVD),10011282,1,0
126,SHORTS  (BLU-RAY),10011235,1,0
127,EQUILIBRIUM / RENAISSANCE 2 PACK (DVD),10012094,1,0
128,WEEDS 5-1 EP:1-7 (BLU-RAY),10011283,1,0
129,JACK THE RIPPER: 4 TALES (DVD),10012095,1,0
130,SURVIVOR: SEAS 2 GREAT MONENTS (DVD),10011284,1,0
131,SPORTS BLOOPERS: BEST OF (DVD),10012096,1,0
132,"BATS, THE  (DVD)",10011285,1,0
133,SURVIVOR SEAS 1 GREAT MOMENTS (DVD),10011286,1,0
134,BLOODSPORT 3: SPECIAL EDITION (DVD),10011287,1,0
